img_id,img_size,img_size_s,ioi_id,ioi_coords,ioi_coords_s,click_coords,result,time_loaded,time_clicked,pstime,device,screen,viewport,documentt
1-yle_0,"1891,7957","1200,5049","1-yle_0_i","77,2562,525,3121","48,1625,333,1980","133,1775","correct","1593616479742","1593616485166","5424","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc1_0,"1893,3010","1200,1908","2-bbc1_0_i","1266,1462,1890,2062","802,926,1198,1307","947,1121","correct","1593616486944","1593616489353","2409","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc2_2,"1893,3427","1200,2173","2-bbc2_2_i","6,1826,710,2549","3,1157,450,1615","167,1361","correct","1593616491363","1593616493626","2263","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc_1,"1893,3925","1200,2488","2-bbc_1_i","1141,1335,1502,1622","723,846,952,1028","828,940","correct","1593616495340","1593616497380","2040","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
1-yle_0,"1891,7957","1200,5049","1-yle_0_i","77,2562,525,3121","48,1625,333,1980","75,84","incorrect","1593616499623","1593616500703","1080","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc1_0,"1893,3010","1200,1908","2-bbc1_0_i","1266,1462,1890,2062","802,926,1198,1307","101,75","incorrect","1593616501881","1593616502663","782","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc2_2,"1893,3427","1200,2173","2-bbc2_2_i","6,1826,710,2549","3,1157,450,1615","92,69","incorrect","1593616503808","1593616504602","794","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc_1,"1893,3925","1200,2488","2-bbc_1_i","1141,1335,1502,1622","723,846,952,1028","93,68","incorrect","1593616506182","1593616507022","840","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
1-yle_0,"1891,7957","1200,5049","1-yle_0_i","77,2562,525,3121","48,1625,333,1980","-","skip","1593616509126","1593616510364","1238","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc1_0,"1893,3010","1200,1908","2-bbc1_0_i","1266,1462,1890,2062","802,926,1198,1307","-","skip","1593616511883","1593616512234","351","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc2_2,"1893,3427","1200,2173","2-bbc2_2_i","6,1826,710,2549","3,1157,450,1615","-","skip","1593616514193","1593616514750","557","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
2-bbc_1,"1893,3925","1200,2488","2-bbc_1_i","1141,1335,1502,1622","723,846,952,1028","-","skip","1593616516142","1593616516674","532","1280.00,720.00","1280.00,680.00","1280.00,578.00","1280.00,578.00"
